TT,Lĩnh vực,Câu hỏi,Loại,Các đáp án lựa chọn (Điểm - Rủi ro),Các khuyến nghị xử lý
11,"Sự cố hệ thống, thiết bị điện","Cơ sở có sử dụng máy phát điện dự phòng không? Nếu có, việc vận hành và bảo quản như thế nào?",single,"A) Không có máy phát điện; hoặc có, đặt ngoài trời/phòng riêng thông gió, bảo dưỡng định kỳ, có ATS [Điểm: 0, Rủi ro: safe]
B) Có máy phát, đặt đúng nơi nhưng chưa bảo dưỡng định kỳ, chỉ chạy thử khi mất điện [Điểm: 1, Rủi ro: low]
C) Máy phát đặt trong nhà kho chung, gần vật liệu dễ cháy, ống xả không dẫn ra ngoài [Điểm: 2, Rủi ro: high]
D) Máy phát cũ rò rỉ nhiên liệu, đặt trong tầng hầm kín, không có hệ thống thông gió [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Khắc phục: Máy phát đặt trong nhà kho chung, gần vật liệu dễ cháy, ống xả không dẫn ra ngoài. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể.
- Nếu chọn (D): Bảo quản xăng dầu trong kho riêng, xa nguồn nhiệt/điện. Dùng can chuyên dụng có nắp kín, gắn nhãn cảnh báo."
12,"Sự cố hệ thống, thiết bị điện",Tải điện thực tế tại cơ sở có vượt quá công suất thiết kế ban đầu của hệ thống điện không?,single,"A) Tải thực tế nằm trong phạm vi thiết kế, có đo đạc xác nhận, dự phòng ≥ 20% công suất [Điểm: 0, Rủi ro: safe]
B) Không rõ công suất thiết kế ban đầu, nhưng chưa có dấu hiệu quá tải (dây không nóng) [Điểm: 1, Rủi ro: low]
C) Đã bổ sung nhiều thiết bị mới mà không nâng cấp hệ thống điện, aptomat thỉnh thoảng nhảy [Điểm: 2, Rủi ro: high]
D) Hệ thống điện quá tải nghiêm trọng, dây nóng khi vận hành, CB nhảy thường xuyên phải nối tắt [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Kiểm tra và thay thế aptomat không đúng dòng định mức. Thử test aptomat bằng cách nhấn nút TEST hàng tháng.
- Nếu chọn (D): Kiểm tra và thay thế aptomat không đúng dòng định mức. Thử test aptomat bằng cách nhấn nút TEST hàng tháng."
13,"Sự cố hệ thống, thiết bị điện","Tại cơ sở, vật liệu dễ cháy (giấy, vải, xăng, hóa chất) có được bảo quản cách xa các thiết bị và nguồn điện không?",single,"A) Vật liệu dễ cháy bảo quản trong kho riêng, cách xa tủ điện, ổ cắm và thiết bị điện ≥ 1m [Điểm: 0, Rủi ro: safe]
B) Phần lớn cách xa, nhưng một vài vị trí vật liệu dễ cháy còn gần ổ cắm hoặc dây điện [Điểm: 1, Rủi ro: low]
C) Vật liệu dễ cháy xếp gần tủ điện, ổ cắm, hoặc dưới đường đi dây điện chính [Điểm: 2, Rủi ro: high]
D) Vật liệu dễ cháy chất đống sát tủ điện, che khuất thiết bị điện, dây điện đi xuyên qua [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Di chuyển vật liệu dễ cháy ra xa tủ điện ít nhất 1m. Lắp khóa và biển cảnh báo 'NGUY HIỂM - ĐIỆN CAO ÁP'.
- Nếu chọn (D): Di chuyển vật liệu dễ cháy ra xa tủ điện ít nhất 1m. Lắp khóa và biển cảnh báo 'NGUY HIỂM - ĐIỆN CAO ÁP'."
14,"Sự cố hệ thống, thiết bị điện","Tại cơ sở có sử dụng hệ thống UPS (lưu điện) hoặc trạm sạc pin, bình ắc-quy không? Nếu có, tình trạng như thế nào?",single,"A) Không có UPS/ắc-quy; hoặc có, đặt phòng riêng thông gió, bảo trì theo nhà sản xuất [Điểm: 0, Rủi ro: safe]
B) Có UPS đặt trong phòng làm việc, hoạt động bình thường nhưng chưa kiểm tra pin gần đây [Điểm: 1, Rủi ro: low]
C) UPS/ắc-quy cũ, pin phồng hoặc rò rỉ axit, đặt trong phòng kín không thông gió [Điểm: 2, Rủi ro: high]
D) Nhiều bình ắc-quy cũ bảo quản cùng vật liệu dễ cháy, không có hệ thống xử lý khí hydro [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Khắc phục: UPS/ắc-quy cũ, pin phồng hoặc rò rỉ axit, đặt trong phòng kín không thông gió. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể.
- Nếu chọn (D): Khắc phục: Nhiều bình ắc-quy cũ bảo quản cùng vật liệu dễ cháy, không có hệ thống xử lý khí hydro. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể."
15,"Sự cố hệ thống, thiết bị điện","Tại các khu vực có hơi khí dễ cháy nổ (kho xăng dầu, phòng sơn, kho gas), thiết bị điện được lựa chọn như thế nào?",single,"A) Không có khu vực chứa hơi khí dễ cháy; hoặc có nhưng toàn bộ thiết bị điện đạt cấp Ex phòng nổ [Điểm: 0, Rủi ro: safe]
B) Thiết bị điện chính đạt cấp Ex, nhưng đèn chiếu sáng và ổ cắm vẫn dùng loại thường [Điểm: 1, Rủi ro: low]
C) Có khu vực hơi khí dễ cháy nhưng dùng thiết bị điện thông thường, không phòng nổ [Điểm: 2, Rủi ro: high]
D) Dùng công tắc, ổ cắm thường trong khu vực có hơi xăng dầu/gas, có nguy cơ phát tia lửa [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Khắc phục: Có khu vực hơi khí dễ cháy nhưng dùng thiết bị điện thông thường, không phòng nổ. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể.
- Nếu chọn (D): Lắp van ngắt gas tự động và đầu dò khí gas LPG. Đặt bình gas nơi thoáng, xa nguồn nhiệt tối thiểu 1.5m."
16,"Sự cố hệ thống, thiết bị điện","Nhân viên tại cơ sở có được đào tạo quy trình xử lý sự cố điện (chập cháy, điện giật, mất điện đột ngột) không?",single,"A) 100% nhân viên được đào tạo, biết vị trí cầu dao tổng, biết sơ cứu điện giật, có diễn tập [Điểm: 0, Rủi ro: safe]
B) Một số nhân viên phụ trách biết cách xử lý, còn lại chưa được đào tạo chính thức [Điểm: 1, Rủi ro: low]
C) Chỉ phổ biến miệng, nhân viên không rõ vị trí cầu dao tổng và quy trình ngắt điện [Điểm: 2, Rủi ro: high]
D) Không ai được đào tạo về xử lý sự cố điện, không biết cầu dao tổng ở đâu [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Kiểm tra và thay thế aptomat không đúng dòng định mức. Thử test aptomat bằng cách nhấn nút TEST hàng tháng.
- Nếu chọn (D): Kiểm tra và thay thế aptomat không đúng dòng định mức. Thử test aptomat bằng cách nhấn nút TEST hàng tháng."
17,"Sự cố hệ thống, thiết bị điện","Tại các khu vực tập trung thiết bị điện (phòng server, tủ điện, UPS), loại bình chữa cháy nào được trang bị?",single,"A) Trang bị bình CO₂ hoặc hệ thống chữa cháy khí sạch (FM200), phù hợp cháy thiết bị điện [Điểm: 0, Rủi ro: safe]
B) Có bình chữa cháy bột ABC gần đó, chưa có bình CO₂ chuyên dụng cho thiết bị điện [Điểm: 1, Rủi ro: low]
C) Chỉ có bình chữa cháy bột để ở hành lang xa, không có bình riêng tại khu vực điện [Điểm: 2, Rủi ro: high]
D) Không có bình chữa cháy nào gần khu vực tập trung thiết bị điện [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Mua bổ sung bình chữa cháy ABC 4kg: 1 bình/50m². Đặt nơi dễ lấy, cao 0.8-1.5m. Kiểm tra hạn sử dụng hàng quý.
- Nếu chọn (D): Mua bổ sung bình chữa cháy ABC 4kg: 1 bình/50m². Đặt nơi dễ lấy, cao 0.8-1.5m. Kiểm tra hạn sử dụng hàng quý."
18,"Sự cố hệ thống, thiết bị điện","Quy trình tắt thiết bị điện và kiểm tra an toàn trước khi rời cơ sở (cuối ngày, cuối tuần) được thực hiện như thế nào?",single,"A) Có checklist kiểm tra cuối ngày bắt buộc, người cuối cùng ký xác nhận đã ngắt thiết bị không cần thiết [Điểm: 0, Rủi ro: safe]
B) Có nhắc nhở tắt thiết bị nhưng không có checklist chính thức, phụ thuộc ý thức cá nhân [Điểm: 1, Rủi ro: low]
C) Không có quy trình, nhiều thiết bị để chế độ chờ hoặc chạy liên tục qua đêm và cuối tuần [Điểm: 2, Rủi ro: high]
D) Toàn bộ thiết bị chạy 24/7 không ai kiểm tra, không có người trực ngoài giờ làm việc [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Khắc phục: Không có quy trình, nhiều thiết bị để chế độ chờ hoặc chạy liên tục qua đêm và cuối tuần. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể.
- Nếu chọn (D): Khắc phục: Toàn bộ thiết bị chạy 24/7 không ai kiểm tra, không có người trực ngoài giờ làm việc. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể."
19,"Sự cố hệ thống, thiết bị điện","Hồ sơ pháp lý về an toàn điện của cơ sở (thiết kế điện được thẩm duyệt, nghiệm thu điện, biên bản kiểm tra định kỳ) có đầy đủ không?",single,"A) Có đầy đủ: bản vẽ thiết kế điện, biên bản nghiệm thu, biên bản kiểm tra định kỳ còn hiệu lực [Điểm: 0, Rủi ro: safe]
B) Có bản vẽ thiết kế nhưng thiếu biên bản kiểm tra định kỳ gần nhất [Điểm: 1, Rủi ro: low]
C) Chỉ có hồ sơ ban đầu, không cập nhật theo thực tế sửa chữa và mở rộng [Điểm: 2, Rủi ro: high]
D) Không có bất kỳ hồ sơ pháp lý nào về hệ thống điện, điện lắp đặt tự phát [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Khắc phục: Chỉ có hồ sơ ban đầu, không cập nhật theo thực tế sửa chữa và mở rộng. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể.
- Nếu chọn (D): Bảo quản vật liệu dễ tự cháy nơi thông thoáng, không chất đống. Kiểm tra nhiệt độ kho định kỳ hàng ngày."
20,"Sự cố hệ thống, thiết bị điện","Cơ sở có trang bị hệ thống phát hiện và cảnh báo sớm các nguy cơ từ điện (cảm biến nhiệt, cảm biến khói, camera nhiệt hồng ngoại) không?",single,"A) Có hệ thống giám sát nhiệt tủ điện, cảm biến khói tại phòng điện, cảnh báo qua app/SMS [Điểm: 0, Rủi ro: safe]
B) Có cảm biến khói chung trong tòa nhà nhưng không có giám sát nhiệt riêng cho tủ điện [Điểm: 1, Rủi ro: low]
C) Không có cảm biến tự động, chỉ dựa vào quan sát bằng mắt thường khi tuần tra [Điểm: 2, Rủi ro: high]
D) Không có bất kỳ hệ thống phát hiện sớm nào, cũng không có tuần tra kiểm tra [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Khắc phục: Không có cảm biến tự động, chỉ dựa vào quan sát bằng mắt thường khi tuần tra. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể.
- Nếu chọn (D): Khắc phục: Không có bất kỳ hệ thống phát hiện sớm nào, cũng không có tuần tra kiểm tra. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể."
21,"Sơ suất, bất cẩn dùng lửa/nhiệt","Cơ sở/hộ gia đình có thực hiện đốt rác, phế thải, lá khô tại khuôn viên không? Nếu có, việc này được thực hiện như thế nào?",single,"A) Không đốt rác tại khuôn viên, thu gom và xử lý qua dịch vụ vệ sinh môi trường [Điểm: 0, Rủi ro: safe]
B) Có đốt nhưng trong lò đốt chuyên dụng hoặc thùng kim loại có nắp, có người giám sát [Điểm: 1, Rủi ro: low]
C) Đốt rác lộ thiên trong sân, gần hàng rào hoặc cây cối khô, không có người trông coi liên tục [Điểm: 2, Rủi ro: high]
D) Đốt rác lộ thiên gần kho hàng, nhà xưởng hoặc khu dân cư đông đúc, khi gió lớn vẫn đốt [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Đốt vàng mã trong lư/thùng kim loại có nắp, đặt trên nền bê tông, xa vật liệu dễ cháy 3m. Luôn có người trông coi.
- Nếu chọn (D): Đốt vàng mã trong lư/thùng kim loại có nắp, đặt trên nền bê tông, xa vật liệu dễ cháy 3m. Luôn có người trông coi."
22,"Sơ suất, bất cẩn dùng lửa/nhiệt","Tại cơ sở hoặc hộ gia đình, việc đốt vàng mã, hóa vàng, thắp hương cúng lễ được thực hiện như thế nào?",single,"A) Không có hoạt động đốt vàng mã tại cơ sở [Điểm: 0, Rủi ro: safe]
B) Đốt trong lư/thùng kim loại trên nền bê tông, cách vật dễ cháy ≥ 3m, có người trông [Điểm: 1, Rủi ro: low]
C) Đốt vàng mã trong thùng nhưng đặt gần tường gỗ, mái tôn nhựa hoặc hàng hóa [Điểm: 2, Rủi ro: high]
D) Đốt vàng mã lộ thiên không kiểm soát, tàn bay khắp nơi, không có người trông coi [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Đốt vàng mã trong lư/thùng kim loại có nắp, đặt trên nền bê tông, xa vật liệu dễ cháy 3m. Luôn có người trông coi.
- Nếu chọn (D): Đốt vàng mã trong lư/thùng kim loại có nắp, đặt trên nền bê tông, xa vật liệu dễ cháy 3m. Luôn có người trông coi."
23,"Sơ suất, bất cẩn dùng lửa/nhiệt","Tại cơ sở có sử dụng nến, đèn dầu, đèn cầy không? Nếu có, cách sử dụng và bảo quản như thế nào?",single,"A) Không sử dụng nến/đèn dầu; hoặc chỉ dùng nến LED (điện tử) thay thế [Điểm: 0, Rủi ro: safe]
B) Có dùng nến/đèn dầu nhưng đặt trong chụp thủy tinh, trên bề mặt không cháy, có người giám sát [Điểm: 1, Rủi ro: low]
C) Dùng nến đặt gần rèm cửa, khăn trải bàn hoặc giấy tờ, đôi khi không có người trông [Điểm: 2, Rủi ro: high]
D) Dùng nến/đèn dầu trong phòng ngủ hoặc kho hàng, để cháy qua đêm không ai giám sát [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Khắc phục: Dùng nến đặt gần rèm cửa, khăn trải bàn hoặc giấy tờ, đôi khi không có người trông. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể.
- Nếu chọn (D): Bảo quản xăng dầu trong kho riêng, xa nguồn nhiệt/điện. Dùng can chuyên dụng có nắp kín, gắn nhãn cảnh báo."
24,"Sơ suất, bất cẩn dùng lửa/nhiệt","Việc thắp hương (hương thẳng, hương vòng, nhang trầm) tại cơ sở/gia đình được thực hiện như thế nào?",single,"A) Không thắp hương; hoặc thắp trên bàn thờ có bát hương chắc chắn, cách trần và vật dễ cháy ≥ 0.5m [Điểm: 0, Rủi ro: safe]
B) Thắp hương trên bàn thờ cố định, bát hương đầy tro nhưng vẫn ổn định, có vách sau bàn thờ [Điểm: 1, Rủi ro: low]
C) Bàn thờ bằng gỗ sát trần nhà, tàn hương rơi xuống đồ thờ bằng giấy/vải [Điểm: 2, Rủi ro: high]
D) Thắp nhiều hương cùng lúc, bàn thờ đầy đồ giấy, tàn hương rơi ra sàn gỗ, không dọn [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Đốt vàng mã trong lư/thùng kim loại có nắp, đặt trên nền bê tông, xa vật liệu dễ cháy 3m. Luôn có người trông coi.
- Nếu chọn (D): Đốt vàng mã trong lư/thùng kim loại có nắp, đặt trên nền bê tông, xa vật liệu dễ cháy 3m. Luôn có người trông coi."
25,"Sơ suất, bất cẩn dùng lửa/nhiệt",Việc hút thuốc lá tại cơ sở/gia đình được quản lý như thế nào?,single,"A) Cấm hút thuốc hoàn toàn trong toàn bộ cơ sở, có biển cấm và chế tài xử lý vi phạm [Điểm: 0, Rủi ro: safe]
B) Cho phép hút thuốc ở khu vực riêng ngoài trời, xa vật liệu dễ cháy, có gạt tàn [Điểm: 1, Rủi ro: low]
C) Hút thuốc trong nhà xưởng, văn phòng, vứt tàn thuốc vào thùng rác thường [Điểm: 2, Rủi ro: high]
D) Hút thuốc trong kho hàng, gần khu vực chứa nhiên liệu hoặc hóa chất dễ cháy [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Quy định khu vực hút thuốc riêng ngoài trời, đặt thùng gạt tàn kim loại có nắp. Treo biển CẤM HÚT THUỐC trong nhà.
- Nếu chọn (D): Quy định khu vực hút thuốc riêng ngoài trời, đặt thùng gạt tàn kim loại có nắp. Treo biển CẤM HÚT THUỐC trong nhà."
